personId,eventId,best,worldRank,continentRank,countryRank
2015PARK08,333bf,1818,1,1,1
2014CAIJ02,333bf,1827,2,1,1
2015HILL09,333bf,1828,3,2,2
2013EGDA02,333bf,1836,4,1,1
2013LINK01,333bf,1871,5,1,1
2016CHAP04,333bf,1894,6,3,3
2016KLAS01,333bf,1912,7,4,1
2014PARR02,333bf,1923,8,2,1
2017XIAO09,333bf,1947,9,2,2
2017SWOR01,333bf,1970,10,5,4
2014CHEN37,333bf,2025,11,6,5
2015CHER07,333bf,2046,12,7,6
2017DEBS01,333bf,2077,13,3,1
2017GUTM01,333bf,2081,14,1,1
2015GUNN01,333bf,2084,15,4,1
2013HUAN29,333bf,2094,16,2,1
2010CANT02,333bf,2118,17,8,2
2014GARC27,333bf,2221,18,5,1
2011TRON02,333bf,2227,19,6,1
2014ZHAN01,333bf,2236,20,9,7
2017WANY29,333bf,2238,21,3,3
2013BOBE01,333bf,2242,22,7,2
2016XIEY08,333bf,2263,23,4,4
2015AGRA03,333bf,2267,24,10,8
2013ANIR01,333bf,2314,25,5,1
2015ALEK01,333bf,2327,26,8,1
2016SIGG01,333bf,2336,27,11,9
2018HABE02,333bf,2350,28,9,1
2009BART02,333bf,2357,29,10,1
2013AOYA01,333bf,2398,30,6,1
2015FIRM01,333bf,2408,31,2,2
2013WALL03,333bf,2411,32,11,2
2018KIMH02,333bf,2436,33,7,1
2013MORR03,333bf,2450,34,12,1
2013DIPI01,333bf,2489,35,3,2
2016TAYL02,333bf,2513,36,12,10
2020BARA02,333bf,2517,37,13,3
2011KOWA01,333bf,2545,38,14,4
2010SHIX01,333bf,2551,39,8,5
2018CRUZ11,333bf,2559,40,4,3
2012JALO01,333bf,2562,41,15,5
2012LIUY03,333bf,2588,42,9,6
2016PRZY01,333bf,2592,43,16,6
2017NORR01,333bf,2599,44,17,1
2015PANE01,333bf,2608,45,3,1
2014ZHAO12,333bf,2622,46,10,7
2016WEIM01,333bf,2624,47,13,11
2017MAXW01,333bf,2659,48,11,1
2008VENK01,333bf,2673,49,14,12
2016GORE02,333bf,2676,50,15,13
2016MART29,333bf,2677,51,18,2
2019KOBE03,333bf,2701,52,16,3
2007LUJI01,333bf,2702,53,12,1
2015IVAN03,333bf,2706,54,19,1
2014FRIT02,333bf,2708,55,20,2
2014ARGA02,333bf,2712,56,5,1
2011BANS02,333bf,2715,57,13,2
2014BOYA01,333bf,2723,58,17,14
2010YAMA04,333bf,2727,59,14,2
2016ZAMB05,333bf,2727,59,6,1
2014ENDO01,333bf,2730,61,15,1
2013NELS01,333bf,2733,62,4,2
2017MAZH04,333bf,2747,63,16,8
2012ARTH01,333bf,2749,64,18,15
2013MINT01,333bf,2751,65,21,3
2013TALU01,333bf,2761,66,17,3
2015CHEN49,333bf,2763,67,18,9
2012SILV22,333bf,2767,68,7,2
2009HONG04,333bf,2777,69,19,1
2018MOSA01,333bf,2804,70,20,2
2014KOUL01,333bf,2805,71,21,4
2018PRAN01,333bf,2828,72,22,2
2018LUXI01,333bf,2842,73,23,10
2017ZHAO32,333bf,2843,74,24,11
2014ZHOU17,333bf,2851,75,25,12
2019ROGO04,333bf,2888,76,22,7
2019NING06,333bf,2901,77,26,13
2017KOLI01,333bf,2902,78,27,5
2016OCON02,333bf,2908,79,5,3
2018CEPI01,333bf,2921,80,23,8
2014AMAY01,333bf,2950,81,8,2
2007ENDR01,333bf,2961,82,24,2
2014MACE02,333bf,2962,83,19,1
2017SERG03,333bf,2967,84,25,4
2016TIDS01,333bf,2968,85,26,2
2016MICH01,333bf,2981,86,27,9
2011BARA01,333bf,2992,87,9,2
2010WANG68,333bf,3005,88,20,4
2016NORA01,333bf,3023,89,28,1
2017WAGU02,333bf,3046,90,29,14
2012MENE01,333bf,3051,91,10,3
2013SHAN02,333bf,3059,92,30,15
2017HERM01,333bf,3060,93,28,2
2016FANG01,333bf,3078,94,31,16
2021TRIP01,333bf,3089,95,6,3
2016GOHT01,333bf,3092,96,21,16
2016RIZO01,333bf,3104,97,22,17
2014SCHW02,333bf,3116,98,29,3
2018STOK01,333bf,3117,99,30,4
2011HAMI01,333bf,3136,100,32,3
2018SHEN07,333bf,3140,101,33,17
2013GHOD01,333bf,3159,102,34,6
2007WOOR01,333bf,3179,103,23,18
2012YANA01,333bf,3190,104,35,3
2016LIJI05,333bf,3195,105,36,18
2014ZARA01,333bf,3199,106,11,3
2013SOLI02,333bf,3200,107,31,2
2014SCHO02,333bf,3202,108,24,19
2015JAEH01,333bf,3209,109,32,3
2015WANG09,333bf,3210,110,37,2
2008JONG03,333bf,3222,111,38,2
2011ZALE02,333bf,3234,112,33,10
2012SEVE01,333bf,3263,113,39,2
2008ZHUA01,333bf,3302,114,40,19
2009SAEZ01,333bf,3429,115,12,1
2011XUJU01,333bf,3432,116,41,20
2012BILL01,333bf,3445,117,34,4
2011GRIT01,333bf,3452,118,35,5
2009CADM01,333bf,3494,119,25,20
2013BONA01,333bf,3499,120,36,2
2009WANG62,333bf,3514,121,42,21
2016WHIT16,333bf,3521,122,26,21
2016MOBE01,333bf,3567,123,37,3
2019FUJI07,333bf,3580,124,43,4
2016VOSO01,333bf,3589,125,38,1
2015KUCA01,333bf,3591,126,27,22
2009ROST01,333bf,3603,127,39,6
2012GRAY01,333bf,3607,128,28,23
2012KAMA01,333bf,3618,129,40,7
2016TANG06,333bf,3622,130,44,22
2012BOGD01,333bf,3630,131,41,11
2015BELO03,333bf,3642,132,29,24
2015BUAT01,333bf,3644,133,42,12
2012FROS01,333bf,3661,134,43,5
2012MCNE01,333bf,3689,135,7,4
2013LIMA01,333bf,3694,136,30,25
2014GERB01,333bf,3700,137,44,5
2018LEED01,333bf,3700,137,45,3
2012STRA02,333bf,3704,139,45,8
2014LONG06,333bf,3712,140,46,6
2010CARN01,333bf,3716,141,8,5
2018CAIH01,333bf,3725,142,46,23
2009QIAO03,333bf,3742,143,47,24
2019DING22,333bf,3770,144,48,25
2010LEHM02,333bf,3775,145,47,6
2018MADR02,333bf,3784,146,48,3
2009BAKK01,333bf,3796,147,49,2
2015FARI06,333bf,3814,148,31,26
2012SALG01,333bf,3846,149,49,3
2018LANZ03,333bf,3871,150,50,1
2014MAUR06,333bf,3881,151,51,3
2018BERR01,333bf,3933,152,32,27
2007WONG02,333bf,3954,153,33,28
2017HARR08,333bf,3957,154,52,7
2012HIRA01,333bf,4003,155,50,5
2010HONG01,333bf,4006,156,51,3
2015SANC18,333bf,4008,157,53,2
2016SALA18,333bf,4010,158,54,13
2015KEAR01,333bf,4031,159,55,8
2013CLAP01,333bf,4043,160,56,4
2011TANH01,333bf,4067,161,52,26
2014MODA01,333bf,4071,162,53,1
